school_name,state,level,control,official_website,has_inclusive_access,program_name,cost_model,bookstore_partner,publishers_used,notes,source_urls,research_status
Alaska Bible College,AK,4-year,private_nonprofit,https://www.akbible.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Alaska Career College,AK,2-year,private_forprofit,https://www.alaskacareercollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Alaska Christian College,AK,2-year,private_nonprofit,https://www.alaskacc.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Alaska Pacific University,AK,4-year,private_nonprofit,https://www.alaskapacific.edu,no,N/A,Traditional purchase,University bookstore,Various,No formal IA found. Small private university.,https://alaskapacific.edu,done
Charter College,AK,4-year,private_forprofit,https://chartercollege.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
Ilisagvik College,AK,4-year,public,https://www.ilisagvik.edu,no,N/A,Traditional purchase; small/specialty institution,Various / N/A,Various,Small/specialty/private institution. No formal inclusive access program found.,N/A,done
University of Alaska Anchorage,AK,4-year,public,https://www.uaa.alaska.edu,yes,Inclusive Access (fka Day-One-Digital),Per-course; digital day 1; discounted; auto-enrolled; 14-day opt-out; charged to account,UAA Bookstore / BibliU,Various; BibliU; digital,Inclusive Access fka Day-One-Digital. Per-course. Digital day 1. Discounted. Auto-enrolled. 14-day opt-out. Also at Kenai Peninsula and Prince William Sound colleges.,https://uaa.alaska.edu; https://bibliu.com,done
University of Alaska Fairbanks,AK,4-year,public,https://www.uaf.edu,yes,UAF Bookstore Bundle,$20/credit hour flat fee; auto-enrolled; all materials (rent/digital/access codes) day 1; opt-out,UAF Bookstore,Various; rental + digital + access codes,UAF Bookstore Bundle Fall 2024. $20/cr hr flat. Auto-enrolled. Rent + digital + access codes + e-books. Day 1. Opt-out.,https://uaf.edu,done
University of Alaska Southeast,AK,4-year,public,https://www.uas.alaska.edu,no,N/A,OER / Alt-Textbook Project; free materials,Campus resources,OER; library loans,No formal IA. Alt-Textbook Project + OER. Free materials via library loans. Focus on zero-cost materials rather than discounted IA.,https://uas.alaska.edu,done
Alabama A & M University,AL,4-year,public,https://www.aamu.edu,,,,,,,https://bkstr.com/alabamaamstore,done
Alabama College of Osteopathic Medicine,AL,4-year,private_nonprofit,https://www.acom.edu,,,,,,,https://acom.edu/bookstore,done
Alabama State University,AL,4-year,public,https://www.alasu.edu,,,,,,,https://alasu.edu/hornet-access; https://bncollege.com,done
Amridge University,AL,4-year,private_nonprofit,https://www.amridgeuniversity.edu,,,,,,,https://amridgeuniversity.edu; https://bkstr.com,done
Athens State University,AL,4-year,public,https://www.athens.edu,,,,,,,https://athens.edu; https://bkstr.com/athensstatebookstore,done
Auburn University,AL,4-year,public,https://www.auburn.edu,,,,,,,https://www.aubookstore.com/t-allaccess.aspx; https://auburn.edu,done
Auburn University at Montgomery,AL,4-year,public,https://www.aum.edu,,,,,,,https://aum.bncollege.com; https://aum.edu,done
Bevill State Community College,AL,2-year,public,https://www.bscc.edu,,,,,,,https://bscc.edu; https://bkstr.com/bevillstatebookstore,done
Birmingham-Southern College,AL,4-year,private_nonprofit,https://www.bsc.edu,,,,,,,https://bsc.edu; https://bkstr.com,done
Bishop State Community College,AL,2-year,public,https://www.bishop.edu,,,,,,,https://bishop.edu; https://bkstr.com/bishopstatebookstore,done
Cardiac and Vascular Institute of Ultrasound,AL,2-year,private_forprofit,https://www.ultrasound.edu,,,,,,,https://cvius.com,done
Central Alabama Community College,AL,2-year,public,https://www.cacc.edu,,,,,,,https://cacc.edu; https://bkstr.com/centralalabamabookstore,done
Chattahoochee Valley Community College,AL,2-year,public,https://www.cv.edu,,,,,,,https://cv.edu; https://bkstr.com,done
Coastal Alabama Community College,AL,2-year,public,https://www.coastalalabama.edu,,,,,,,https://coastalalabama.edu; https://bkstr.com,done
Columbia College - Redstone Arsenal,AL,4-year,private_nonprofit,https://www.ccis.edu/locations/redstone-arsenal,,,,,,,https://ccis.edu,done
Columbia Southern University,AL,4-year,private_forprofit,https://www.columbiasouthern.edu,,,,,,,https://columbiasouthern.edu,done
Enterprise State Community College,AL,2-year,public,https://www.escc.edu,,,,,,,https://escc.edu; https://bkstr.com,done
Faulkner University,AL,4-year,private_nonprofit,https://www.faulkner.edu,,,,,,,https://faulkner.edu; https://bkstr.com/faulknerbookstore,done
Fortis Institute-Birmingham,AL,2-year,private_forprofit,https://www.fortis.edu,,,,,,,https://fortis.edu,done
Gadsden State Community College,AL,2-year,public,https://www.gadsdenstate.edu,,,,,,,https://gadsdenstate.edu; https://bkstr.com,done
George C Wallace Community College-Dothan,AL,2-year,public,https://www.wallace.edu,,,,,,,https://wallace.edu; https://bkstr.com,done
George C Wallace State Community College-Hanceville,AL,2-year,public,https://www.wallacestate.edu,,,,,,,https://wallacestate.edu; https://bkstr.com,done
George C Wallace State Community College-Selma,AL,2-year,public,https://www.wccs.edu,,,,,,,https://wccs.edu; https://bkstr.com,done
H Councill Trenholm State Community College,AL,2-year,public,https://www.trenholmstate.edu,,,,,,,https://trenholmstate.edu; https://bkstr.com,done
Heritage Christian University,AL,4-year,private_nonprofit,https://www.hcu.edu,,,,,,,https://hcu.edu,done
Herzing University-Birmingham,AL,4-year,private_nonprofit,https://www.herzing.edu,,,,,,,https://herzing.edu,done
Huntingdon College,AL,4-year,private_nonprofit,https://www.huntingdon.edu,,,,,,,https://huntingdon.edu; https://bkstr.com,done
Huntsville Bible College,AL,4-year,private_nonprofit,https://www.huntsvillebiblecollege.org,,,,,,,https://huntsvillebiblecollege.com,done
J. F. Drake State Community and Technical College,AL,2-year,public,https://drakestate.edu,,,,,,,https://drakestate.edu; https://bkstr.com,done
Jacksonville State University,AL,4-year,public,https://www.jsu.edu,,,,,,,https://jsu.edu; https://bncollege.com/jsu,done
Jefferson State Community College,AL,2-year,public,https://www.jeffersonstate.edu,,,,,,,https://jeffersonstate.edu; https://bkstr.com,done
John C Calhoun State Community College,AL,2-year,public,https://calhoun.edu,,,,,,,https://calhoun.edu; https://bkstr.com,done
Lawson State Community College,AL,2-year,public,https://www.lawsonstate.edu,,,,,,,https://lawsonstate.edu; https://bkstr.com,done
Lurleen B Wallace Community College,AL,2-year,public,https://www.lbwcc.edu,,,,,,,https://lbwcc.edu; https://bkstr.com,done
Marion Military Institute,AL,2-year,public,https://www.marionmilitary.edu,,,,,,,https://marionmilitary.edu,done
Miles College,AL,4-year,private_nonprofit,https://www.miles.edu,,,,,,,https://miles.edu; https://bkstr.com,done
Northeast Alabama Community College,AL,2-year,public,https://www.nacc.edu,,,,,,,https://nacc.edu; https://bkstr.com,done
Northwest Shoals Community College,AL,2-year,public,https://www.nwscc.edu,,,,,,,https://nwscc.edu; https://bkstr.com,done
Oakwood University,AL,4-year,private_nonprofit,https://www2.oakwood.edu,,,,,,,https://oakwood.edu; https://bkstr.com,done
