"state","statefp","school_count"
"AK","02","10"
"AL","01","84"
"AR","05","85"
"AS","60","1"
"AZ","04","122"
"CA","06","671"
"CO","08","88"
"CT","09","63"
"DC","11","24"
"DE","10","19"
"FL","12","393"
"FM","64","1"
"GA","13","167"
"GU","66","3"
"HI","15","22"
"IA","19","75"
"ID","16","36"
"IL","17","245"
"IN","18","143"
"KS","20","81"
"KY","21","87"
"LA","22","116"
"MA","25","147"
"MD","24","79"
"ME","23","39"
"MH","68","2"
"MI","26","173"
"MN","27","109"
"MO","29","153"
"MP","69","1"
"MS","28","56"
"MT","30","30"
"NC","37","175"
"ND","38","26"
"NE","31","40"
"NH","33","32"
"NJ","34","154"
"NM","35","43"
"NV","32","38"
"NY","36","428"
"OH","39","286"
"OK","40","104"
"OR","41","73"
"PA","42","331"
"PR","72","143"
"PW","70","1"
"RI","44","23"
"SC","45","95"
"SD","46","26"
"TN","47","153"
"TX","48","415"
"UT","49","64"
"VA","51","163"
"VI","78","2"
"VT","50","16"
"WA","53","106"
"WI","55","89"
"WV","54","68"
"WY","56","10"
