school_name,verified_url,http_status,match_type,official_website,checked_at
Alabama A & M University,https://www.aamu.edu/campus-life/bookstore/,200,bookstore_page,https://www.aamu.edu,2026-03-10
Arkansas State University Mid-South,https://www.asumidsouth.edu/wp-content/uploads/2017/09/BOOKSTORE.jpg,200,bookstore_page,https://www.asumidsouth.edu,2026-03-10
Arkansas State University Three Rivers,https://www.asutr.edu,200,main_site_only,https://www.asutr.edu,2026-03-10
Arkansas State University-Beebe,https://www.asub.edu,200,main_site_only,https://www.asub.edu,2026-03-10
Arkansas State University-Mountain Home,https://asumh.edu/,200,main_site_only,https://www.asumh.edu,2026-03-10
Arkansas State University-Newport,https://bookstore.asun.edu,200,bookstore_page,https://www.asun.edu,2026-03-10
Black River Technical College,https://blackrivertech.edu/bookstore-survey-winner/,200,bookstore_page,https://www.blackrivertech.edu,2026-03-10
Cossatot Community College of the University of Arkansas,https://www.cccua.edu/index.html,200,main_site_only,https://www.cccua.edu/index.html,2026-03-10
East Arkansas Community College,https://www.eacc.edu,200,main_site_only,https://www.eacc.edu,2026-03-10
John Brown University,https://www.jbu.edu,200,main_site_only,https://www.jbu.edu,2026-03-10
Philander Smith University,,0,all_failed,https://www.philander.edu,2026-03-10
Phillips Community College of the University of Arkansas,https://www.pccua.edu,200,main_site_only,https://www.pccua.edu,2026-03-10
Southern Arkansas University Main Campus,https://web.saumag.edu/,200,main_site_only,https://www.saumag.edu,2026-03-10
Southern Arkansas University Tech,https://bookstore.sautech.edu,200,bookstore_page,https://www.sautech.edu,2026-03-10
Strayer University-Arkansas,https://www.strayer.edu/campus-locations/arkansas/little-rock/,200,main_site_only,https://www.strayer.edu/campus-locations/arkansas/little-rock,2026-03-10
University of Arkansas Community College Rich Mountain,https://www.uarichmountain.edu,200,main_site_only,https://www.uarichmountain.edu,2026-03-10
University of Arkansas Community College at Hope - Texarkana,https://www.uaht.edu/index.php,200,main_site_only,https://www.uaht.edu/index.php,2026-03-10
University of Arkansas Community College-Batesville,https://www.uaccb.edu,200,main_site_only,https://www.uaccb.edu,2026-03-10
University of Arkansas Grantham,https://www.granthamonlinebookstore.com/,200,bookstore_page,https://www.uagrantham.edu,2026-03-10
University of Arkansas Hope-Texarkana,https://www.uaht.edu/index.php,200,main_site_only,https://www.uaht.edu/index.php,2026-03-10
University of Arkansas at Monticello,https://www.uamont.edu,200,main_site_only,https://www.uamont.edu,2026-03-10
University of Arkansas for Medical Sciences,https://www.uams.edu,200,main_site_only,https://www.uams.edu,2026-03-10
University of Arkansas-Fort Smith,https://uafs.edu,200,main_site_only,https://uafs.edu,2026-03-10
University of the Ozarks,https://ozarks.edu/bookstore/,200,bookstore_page,https://ozarks.edu,2026-03-10
Williams Baptist University,https://www.williamsbaptistuniversity.com/bookstore/,200,bookstore_page,https://williamsbaptistuniversity.com,2026-03-10
American Samoa Community College,https://bookstore.amsamoa.edu,200,bookstore_page,https://www.amsamoa.edu,2026-03-10
Alliant International University - Phoenix,https://www.alliant.edu,200,main_site_only,https://www.alliant.edu,2026-03-10
