unitid,school_name,state,city,has_ia,ia_program_name,cost_model,price,source_url,confidence,notes,data_source,quality_tier,consolidated_at,v_status,v_score,v_url_code,v_notes,v_at
262369,Adrian's Beauty College of Turlock,CA,Turlock,yes,Zero Textbook Cost (ZTC) / Inclusive Access,ZTC via OER; some IA per-unit; $115M state ZTC funding; opt-out where IA exists,,https://cccco.edu,,CA CC system: $115M ZTC program. OER-focused. New regs July 2025.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,5,200,"The page is for the California Community Colleges Chancellor's Office, which oversees Adrian's Beauty College, but does not mention specific IA programs or pricing details.",2026-03-10T21:36:28Z
138716,Albany State University,GA,Albany,yes,Inclusive Access / Day One Access (USG Affordable Learning Georgia),Per-course; USG system enables IA; ALG preferred pricing <$40 eTextbooks; auto-enrolled; opt-out; digital via LMS day 1,,https://usg.edu; https://affordablelearninggeorgia.org,,USG member: Affordable Learning Georgia (ALG) enables IA. Preferred pricing <$40 e-textbooks. Auto-enrolled. Opt-out. Digital via LMS.,bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='usg.edu;%20https', port=443): Max retries exceeded wit",2026-03-10T21:36:32Z
175342,Alcorn State University,MS,Alcorn State,yes,First Day Complete / Affordable Access,Auto-enrolled; digital via LMS; physical pickup; opt-out per course,,https://alcorn.edu; https://bkstr.com; https://mississippi.edu,,"First Day Complete Affordable Access. Auto-enrolled. Digital via LMS, physical at bookstore. Opt-out per course.",bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='alcorn.edu;%20https', port=443): Max retries exceeded ",2026-03-10T21:36:33Z
172918,Alexandria Technical & Community College,MN,Alexandria,yes,Follett ACCESS / MN State Z-Degree,Per-course Follett ACCESS digital via D2L; auto-charged opt-out; MN State Z-Degree (zero textbook cost degrees); OER promoted,,https://minnstate.edu,,MN State system: Follett ACCESS digital via D2L. Z-Degree zero textbook programs. OER promoted.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,3,200,"The page confirms the school's existence (Minnesota State), but lacks any mention of inclusive access programs or related details.",2026-03-10T21:36:33Z
222567,Alvin Community College,TX,Alvin,yes,Inclusive Access / First Day (varies by college),"Per-course or per-credit hr; digital via LMS; auto-enrolled; opt-out; varies by college (e.g. $21/cr Lone Star STAR Bundle, HCC First Day/BN, TCC Plus)",,https://lonestar.edu; https://hccs.edu; https://tccd.edu,,TX CC system. Various IA models by college. Lone Star STAR Bundle $21/cr. HCC First Day/BN + ZTC/OER. TCC Plus/First Day. Auto-enrolled. Opt-out.,bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='lonestar.edu;%20https', port=443): Max retries exceede",2026-03-10T21:36:37Z
497736,American College of Healthcare and Technology-Santa Ana,CA,Santa Ana,yes,Zero Textbook Cost (ZTC) / Inclusive Access,ZTC via OER; some IA per-unit; $115M state ZTC funding; opt-out where IA exists,,https://cccco.edu,,CA CC system: $115M ZTC program. OER-focused. New regs July 2025.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,6,200,"The page is for the California Community Colleges Chancellor's Office, which oversees the school, but does not mention specific IA programs or pricing details.",2026-03-10T21:36:37Z
438586,American InterContinental University-Atlanta,GA,Atlanta,yes,Inclusive Access / Day One Access (USG Affordable Learning Georgia),Per-course; USG system enables IA; ALG preferred pricing <$40 eTextbooks; auto-enrolled; opt-out; digital via LMS day 1,,https://usg.edu; https://affordablelearninggeorgia.org,,USG member: Affordable Learning Georgia (ALG) enables IA. Preferred pricing <$40 e-textbooks. Auto-enrolled. Opt-out. Digital via LMS.,bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='usg.edu;%20https', port=443): Max retries exceeded wit",2026-03-10T21:36:41Z
449339,American Public University System,WV,Charles Town,yes,Electronic course materials included,included-tuition,Included in tuition (undergraduate textbook grant),https://www.apu.apus.edu/academic-community/resources/textbooks/,MEDIUM,Tuition-inclusive via textbook grant. Fully online.,notion_gemini_codex,SILVER,2026-03-10 17:25,URL_BROKEN,0,404,HTTP 404,2026-03-10T21:36:42Z
131159,American University,DC,Washington,yes,Eagle Access,Per-course (tuition bill),,https://american.bncollege.com; https://american.edu,,Follett; up to 60% off; auto-enrolled; opt-out by add/drop,bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='american.bncollege.com;%20https', port=443): Max retri",2026-03-10T21:36:43Z
172954,Anoka Technical College,MN,Anoka,yes,Follett ACCESS / MN State Z-Degree,Per-course Follett ACCESS digital via D2L; auto-charged opt-out; MN State Z-Degree (zero textbook cost degrees); OER promoted,,https://minnstate.edu,,MN State system: Follett ACCESS digital via D2L. Z-Degree zero textbook programs. OER promoted.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,3,200,"The page confirms the school is Minnesota State, but does not mention inclusive access or the specific programs listed in the research result.",2026-03-10T21:36:44Z
172963,Anoka-Ramsey Community College,MN,Coon Rapids,yes,Follett ACCESS / MN State Z-Degree,Per-course Follett ACCESS digital via D2L; auto-charged opt-out; MN State Z-Degree (zero textbook cost degrees); OER promoted,,https://minnstate.edu,,MN State system: Follett ACCESS digital via D2L. Z-Degree zero textbook programs. OER promoted.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,3,200,"The page confirms it belongs to Minnesota State, but does not mention Inclusive Access or the specific programs listed in the research result.",2026-03-10T21:36:47Z
17296301,Anoka-Ramsey Community College-Cambridge Campus,MN,Cambridge,yes,Follett ACCESS / MN State Z-Degree,Per-course Follett ACCESS digital via D2L; auto-charged opt-out; MN State Z-Degree (zero textbook cost degrees); OER promoted,,https://minnstate.edu,,MN State system: Follett ACCESS digital via D2L. Z-Degree zero textbook programs. OER promoted.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,3,200,"The page confirms it belongs to Minnesota State, but does not mention Inclusive Access or the specific program names.",2026-03-10T21:36:50Z
245892,Antioch University,OH,Yellow Springs,yes,Inclusive Access / OhioLINK statewide pricing,Per-course; digital via LMS day 1; OhioLINK statewide pricing with McGraw-Hill/Pearson/Cengage/SAGE; 25-75% below list; auto-enrolled; opt-out; ~2/3 OH IHEs use IA,,https://ohiolink.edu; https://ohio.gov,,OH system: ~2/3 IHEs use IA. OhioLINK statewide pricing for 86 member institutions. Per-course. Digital via LMS. 25-75% below list. Auto-enrolled. Opt-out.,bulk_research,SILVER,2026-03-10 17:25,URL_BROKEN,0,0,"conn_error: HTTPSConnectionPool(host='ohiolink.edu;%20https', port=443): Max retries exceede",2026-03-10T21:36:53Z
197869,Appalachian State University,NC,Boone,yes,Textbook Rental Program (equitable access),$290/sem flat fee (2025-26 undergrad); all textbooks digital+physical; 80-85% digital via AsULearn day 1; opt-out each term,,https://appstate.edu,,App State: Textbook Rental $290/sem. 80-85% digital via AsULearn. Opt-out each term. Physical+digital.,bulk_research,SILVER,2026-03-10 17:25,SUSPECT,2,200,"The page mentions App State, but does not discuss any textbook rental or inclusive access programs.",2026-03-10T21:36:54Z
